course code,offered in fall?,offered in spring?,credits,workload,prereqs,...
CS_121,1,1,3,8,CS_70,
CS_70,1,1,3,8,CS_60,
CS_60,1,1,3,5,CS_5,
CS_5,1,0,3,5,,
MATH_55,1,1,3,6,MATH_30_MATH_35,MATH_40_MATH_45
CS_81,1,1,3,6,MATH_55,CS_60
CS_105,1,1,3,5,CS_70,
CS_131,1,1,3,8,CS_70,CS_81
CS_140,1,1,3,8,CS_70,CS_81
CS_111,1,1,3,6,CS_70,
CS_124,1,1,3,6,CS_60,
CS_125,1,1,3,6,CS_105,
CS_132,0,1,3,6,CS_105,CS_131
CS_133,1,0,3,8,CS_70,CS_81
CS_134,0,1,3,12,CS_105,
CS_136,1,0,3,6,CS_105,
CS_137,1,0,3,6,CS_105,
CS_142,1,0,3,6,CS_81,
CS_144,0,1,3,2,MATH_60_MATH_65,CS_60
CS_147,0,1,3,6,CS_70,MATH_30_MATH_35
CS_151,1,1,3,4,CS_70,
CS_152,1,0,3,4,CS_60,
CS_153,1,0,3,6,CS_60,
CS_154,0,1,3,6,CS_60,
CS_155,1,0,3,7,CS_70,
CS_156,0,1,3,6,CS_105,CS_140
CS_157,0,1,3,6,CS_155,
CS_158,1,0,3,7,CS_151,
CS_159,0,1,3,5,CS_81,
CS_181,1,1,3,7,,
CS_189,1,1,1,4,CS_5,
CS_183,1,0,3,8,,
CS_184,0,1,3,8,,
CS_195,1,1,0.5,2,,
MATH_30_MATH_35,1,0,3,3,,
PHYS_51,1,0,3,3,PHYS_24,
PHYS_22,1,1,1,3,,
PHYS_23,1,0,1.5,3,,
PHYS_24,0,1,3,3,PHYS_23,
MATH_40_MATH_45,0,1,3,3,,
MATH_60_MATH_65,1,0,3,3,,
ENGR_79,1,0,3,3,MATH_40_MATH_45,
WRIT_01,1,0,1.5,3,,
HSA_10,0,1,3,3,WRIT_01,
BIO_52,0,1,3,3,,
CHEM_23A,1,0,3,3,,
CHEM_23B,0,1,1.5,3,,
LAB_1,1,1,1,2,,
LAB_2,1,1,1,2,,
FREE_1,1,1,3,1,,
FREE_2,1,1,3,1,,
FREE_3,1,0,3,1,,
FREE_4,0,1,3,1,,
FREE_5,0,1,3,1,,
FREE_6,1,0,3,1,,
FREE_7,1,1,3,1,,
FREE_8,1,1,1.5,1,,
FREE_9,0,1,1.5,1,,
FREE_10,1,1,1.5,1,,
FREE_11,1,1,1.5,1,,
FREE_12,1,1,1.5,1,,
PE_1,1,1,1,0,,
PE_2,1,1,1,0,,
PE_3,1,1,1,0,,
PE_4,1,1,1,0,,
Breadth_1,1,1,3,3,,
Breadth_2,1,1,3,3,,
Breadth_3,1,1,3,3,,
Breadth_4,1,1,3,3,,
Breadth_5,1,1,3,3,,
Depth_1,1,1,3,3,,
Depth_2,1,1,3,3,,
Depth_3,1,1,3,3,,
Depth_4,1,1,3,3,,
Depth_5,1,1,3,3,,
Depth_6,1,1,3,3,,
HSA_FREE_1,1,1,3,3,,
HSA_FREE_2,1,1,3,3,,
